,year.x,id,imdb_id,title.x,rating,year.y,imdb,title.y,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
1,1997,345,120338,Titanic,3,1997,tt0120338,Titanic,ok,ok,PASS,200000000,658672302,2185672302,1997PASS,290247625,955890356,3171930973,4,3,"A seventeen-year-old aristocrat, expecting to be married to a rich claimant by her mother, falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",PG-13,TRUE,"English, French, German, Swedish, Italian, Russian",USA,James Cameron,74,7.7,James Cameron,19-Dec-97,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","Drama, Romance",Won 11 Oscars. Another 86 wins & 50 nominations.,194,movie,http://ia.media-imdb.com/images/M/MV5BMjExNzM0NDM0N15BMl5BanBnXkFtZTcwMzkxOTUwNw@@._V1_SX300.jpg,565390,NA
2,1993,109,107290,Jurassic Park,3,1993,tt0107290,Jurassic Park,ok-disagree,ok,PASS,63000000,395708305,1035626872,1993PASS,101584911,638063379,1669905770,5,3,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.",PG-13,TRUE,"English, Spanish",USA,"Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)",68,8,Steven Spielberg,11-Jun-93,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","Adventure, Sci-Fi",Won 3 Oscars. Another 21 wins & 16 nominations.,127,movie,http://ia.media-imdb.com/images/M/MV5BMjQzODQyMzk2Nl5BMl5BanBnXkFtZTcwNTg4MjQ3OA@@._V1_SX300.jpg,373499,NA
3,1999,672,120915,Star Wars: Episode I - The Phantom Menace,3,1999,tt0120915,Star Wars: Episode I - The Phantom Menace,ok,ok,PASS,115000000,474544677,1007044677,1999PASS,160823133,663632711,1408313741,4,3,"Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to reclaim their old glory.",PG,TRUE,English,USA,George Lucas,51,6.5,George Lucas,19-May-99,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","Action, Adventure, Fantasy",Nominated for 3 Oscars. Another 12 wins & 52 nominations.,136,movie,http://ia.media-imdb.com/images/M/MV5BMTQ4NjEwNDA2Nl5BMl5BanBnXkFtZTcwNDUyNDQzNw@@._V1_SX300.jpg,380234,NA
4,1994,100,110357,The Lion King,1,1994,tt0110357,The Lion King,notalk-disagree,notalk,FAIL,79300000,422780140,952880140,1994FAIL,124633011,664468621,1497608078,5,3,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,G,TRUE,"English, Swahili, Xhosa, Zulu",USA,"Irene Mecchi (screenplay), Jonathan Roberts (screenplay), Linda Woolverton (screenplay), Brenda Chapman (story), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material)",83,8.5,"Roger Allers, Rob Minkoff",24-Jun-94,"Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Jeremy Irons","Animation, Adventure, Drama",Won 2 Oscars. Another 25 wins & 22 nominations.,89,movie,http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_SX300.jpg,405912,NA
5,1996,444,116629,Independence Day,3,1996,tt0116629,Independence Day,ok,ok,PASS,75000000,306169255,817400878,1996PASS,111387369,454711839,1213975115,4,3,"The aliens are coming and their goal is to invade and destroy. Fighting superior technology, Man's best weapon is the will to survive.",PG-13,TRUE,English,USA,"Dean Devlin, Roland Emmerich",59,6.9,Roland Emmerich,3-Jul-96,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","Action, Adventure, Drama",Won 1 Oscar. Another 26 wins & 22 nominations.,145,movie,http://ia.media-imdb.com/images/M/MV5BMTMwODY3NzQzNF5BMl5BanBnXkFtZTcwNzUxNjc0MQ@@._V1_SX300.jpg,326834,NA
6,1997,5074,119567,The Lost World: Jurassic Park,3,1997,tt0119567,The Lost World: Jurassic Park,dubious,dubious,FAIL,75000000,229086679,786686679,1997FAIL,108842859,332459322,1141669701,4,3,A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.,PG-13,TRUE,"English, Spanish",USA,"Michael Crichton (novel), David Koepp (screenplay)",59,6.4,Steven Spielberg,23-May-97,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard","Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 4 wins & 16 nominations.,129,movie,http://ia.media-imdb.com/images/M/MV5BMTYxNjY1NjE2OV5BMl5BanBnXkFtZTYwNzE0MDc4._V1_SX300.jpg,187100,NA
7,1994,776,109830,Forrest Gump,1,1994,tt0109830,Forrest Gump,notalk-disagree,notalk,FAIL,55000000,329694499,679400525,1994FAIL,86441558,518169206,1067789822,5,3,"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.",PG-13,TRUE,English,USA,"Winston Groom (novel), Eric Roth (screenplay)",82,8.8,Robert Zemeckis,6-Jul-94,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys","Drama, Romance",Won 6 Oscars. Another 38 wins & 46 nominations.,142,movie,http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1_SX300.jpg,793553,NA
8,1999,742,167404,The Sixth Sense,3,1999,tt0167404,The Sixth Sense,dubious-disagree,dubious,FAIL,40000000,293506292,672806292,1999FAIL,55938481,410457404,940894052,4,3,A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.,PG-13,TRUE,"English, Latin, Spanish",USA,M. Night Shyamalan,64,8.2,M. Night Shyamalan,6-Aug-99,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","Drama, Mystery, Thriller",Nominated for 6 Oscars. Another 32 wins & 37 nominations.,107,movie,http://ia.media-imdb.com/images/M/MV5BMTc2MTQxNDI5MV5BMl5BanBnXkFtZTYwNjkzMDc4._V1_SX300.jpg,516752,NA
9,1997,83,119654,Men in Black,1,1997,tt0119654,Men in Black,notalk,notalk,FAIL,90000000,250690539,587790539,1997FAIL,130611431,363811668,853024040,4,3,A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth.,PG-13,TRUE,"English, Spanish",USA,"Lowell Cunningham (comic), Ed Solomon (screen story), Ed Solomon (screenplay)",71,7.2,Barry Sonnenfeld,2-Jul-97,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio","Comedy, Sci-Fi",Won 1 Oscar. Another 17 wins & 28 nominations.,98,movie,http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1_SX300.jpg,292609,NA
10,1998,775,120591,Armageddon,1,1998,tt0120591,Armageddon,notalk,notalk,FAIL,140000000,201578182,554600000,1998FAIL,200078524,288081893,792596781,4,3,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet.",PG-13,TRUE,"English, Russian, Indonesian",USA,"Jonathan Hensleigh (screenplay), J.J. Abrams (screenplay), Tony Gilroy (adaptation), Shane Salerno (adaptation), Robert Roy Pool (story), Jonathan Hensleigh (story)",42,6.6,Michael Bay,1-Jul-98,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler","Action, Adventure, Sci-Fi",Nominated for 4 Oscars. Another 12 wins & 27 nominations.,151,movie,http://ia.media-imdb.com/images/M/MV5BMTc3NzA4MDIyNV5BMl5BanBnXkFtZTcwMzc1OTM2MQ@@._V1_SX300.jpg,252343,NA
