MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210713,02013,Aleutians East Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02016,Aleutians West Census Area,AK,98.98,1.02,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02020,Anchorage Municipality,AK,12.76,87.24,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02050,Bethel Census Area,AK,87.48,12.52,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02060,Bristol Bay Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02063,Chugach Census Area,AK,99.69,0.31,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02066,Copper River Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02068,Denali Borough,AK,0.02,99.98,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02070,Dillingham Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02090,Fairbanks North Star Borough,AK,0.00,100.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02100,Haines Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02105,Hoonah-Angoon Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02110,Juneau City and Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02122,Kenai Peninsula Borough,AK,21.51,78.49,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02130,Ketchikan Gateway Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02150,Kodiak Island Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02158,Kusilvak Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02164,Lake and Peninsula Borough,AK,84.55,15.45,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02170,Matanuska-Susitna Borough,AK,32.54,67.46,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02180,Nome Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02185,North Slope Borough,AK,86.62,13.38,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02188,Northwest Arctic Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02195,Petersburg Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02198,Prince of Wales-Hyder Census Area,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02220,Sitka City and Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02230,Skagway Municipality,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02240,Southeast Fairbanks Census Area,AK,20.18,79.82,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02275,Wrangell City and Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02282,Yakutat City and Borough,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,02290,Yukon-Koyukuk Census Area,AK,61.68,38.32,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01001,Autauga County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01003,Baldwin County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01005,Barbour County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01007,Bibb County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01009,Blount County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01011,Bullock County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01013,Butler County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01015,Calhoun County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01017,Chambers County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01019,Cherokee County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01021,Chilton County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01023,Choctaw County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01025,Clarke County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01027,Clay County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01029,Cleburne County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01031,Coffee County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01033,Colbert County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01035,Conecuh County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01037,Coosa County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01039,Covington County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01041,Crenshaw County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210713,01043,Cullman County,AL,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
