Name,Github,CRAN
awtools,awhstin/awtools - 0.2.1,-
basetheme,karoliskoncevicius/basetheme - 0.1.2,0.1.2
beyonce,dill/beyonce - 0.1,-
calecopal,an-bui/calecopal - 0.1.0,-
cartography,riatelab/cartography - 3.0.0,3.0.0
colorBlindness,-,0.1.9
colorblindr,clauswilke/colorblindr - 0.1.0,-
colRoz,jacintak/colRoz - 0.2.2,-
dichromat,-,2.0-0
DresdenColor,katiesaund/DresdenColor - 0.0.0.9000,-
dutchmasters,EdwinTh/dutchmasters - 0.1.0,-
fishualize,nschiett/fishualize - 0.2.2,0.2.2
futurevisions,JoeyStanley/futurevisions - 0.1.1,-
gameofthrones,aljrico/gameofthrones - 1.0.2,1.0.2
ggpomological,gadenbuie/ggpomological - 0.1.2,-
ggprism,csdaw/ggprism - 1.0.3.9000,1.0.3
ggsci,nanxstats/ggsci - 2.9,2.9
ggthemes,jrnold/ggthemes - 4.2.0,4.2.0
ggthemr,Mikata-Project/ggthemr - 1.1.0,-
ghibli,ewenme/ghibli - 0.3.2.9000,0.3.2
grDevices,-,4.1.0
harrypotter,aljrico/harrypotter - 2.1.1,2.1.1
IslamicArt,lambdamoses/IslamicArt - 0.1.0,-
jcolors,jaredhuling/jcolors - 0.0.4,0.0.4
khroma,tesselle/khroma - 1.6.0.9000,1.6.0
LaCroixColoR,johannesbjork/LaCroixColoR - 0.1.0,-
lisa,tyluRp/lisa - 0.1.1.9000,0.1.1
Manu,G-Thomson/Manu - 0.0.1,-
MapPalettes,disarm-platform/MapPalettes - 0.0.2,-
miscpalettes,EmilHvitfeldt/miscpalettes - 0.0.0.9000,-
nationalparkcolors,katiejolly/nationalparkcolors - 0.1.0,-
nbapalettes,murrayjw/nbapalettes - 0.1.0.9000,0.1.0
NineteenEightyR,m-clark/NineteenEightyR - 0.1.0,-
nord,jkaupp/nord - 1.0.0,1.0.0
ochRe,hollylkirk/ochRe - 1.0.0,-
oompaBase,-,3.2.9
palettesForR,frareb/palettesForR - 0.1.2,0.1.2
palettetown,timcdlucas/palettetown - 0.1.1.90000,0.1.1
palr,AustralianAntarcticDivision/palr - 0.3.0,0.3.0
pals,kwstat/pals - 1.7,1.7
PNWColors,jakelawlor/PNWColors - 0.1.0,-
Polychrome,-,1.3.1
popthemes,johnmackintosh/popthemes - 0.0.0.9000,-
rcartocolor,Nowosad/rcartocolor - 2.0.0,2.0.0
RColorBrewer,-,1.1-2
Redmonder,-,0.2.0
rockthemes,johnmackintosh/rockthemes - 0.0.0.9000,-
RSkittleBrewer,alyssafrazee/RSkittleBrewer - 1.1,-
rtist,tomasokal/rtist - 1.0.0,1.0.0
scico,thomasp85/scico - 1.2.0,1.2.0
soilpalettes,kaizadp/soilpalettes - 0.1.0,-
suffrager,alburezg/suffrager - 0.1.0,-
tayloRswift,asteves/tayloRswift - 0.1.0,-
tidyquant,business-science/tidyquant - 1.0.3,1.0.3
trekcolors,leonawicz/trekcolors - 0.1.3,0.1.3
tvthemes,Ryo-N7/tvthemes - 1.1.0,1.1.0
unikn,hneth/unikn - 0.4.0.9005,0.4.0
vapeplot,seasmith/vapeplot - 0.1.0,-
vapoRwave,moldach/vapoRwave - 0.0.0.9000,-
viridis,sjmgarnier/viridis - 0.6.1,0.6.1
visibly,m-clark/visibly - 0.2.7,-
werpals,sciencificity/werpals - 0.1.0,-
wesanderson,karthik/wesanderson - 0.3.6.9000,0.3.6
yarrr,ndphillips/yarrr - 0.1.6,0.1.5
,,
Source:,,
https://github.com/EmilHvitfeldt/paletteer,,
